类型|留言标题|留言内容|留言时间|答复内容|答复部门|答复时间|主题分类|行政区域
建议|建议调整332路，增加大柳树路、高粱桥斜街至西二环的线路走向|建议332路微调走向，高粱桥斜街的居民完全无法去往车公庄、阜成门、宣武门、前门地区，建议调整332路行走学院南路、大柳树路、高粱桥斜街后恢复原线行驶，增加大柳树路、高粱桥斜街至西二环的线路走向，消减中关村南大街重复线路，增设：中国农业科学院南门、皂君庙西站、大柳树北站、大柳树南站、北京交通大学、北下关、地铁西直门站、车公庄西（前门→地铁北宫门站）、西直门（前门→地铁北宫门站），撤销：魏公村、中央民族大学、国家图书馆、白石桥东、动物园、西直门外，撤出路段由305路、563路替代。|2020-10-01|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经查，为优化整合中关村大街重复并行线路，削减西单北大街沿线重复并行线路，缓解中心城区道路拥堵，合理利用公交车辆资源。我单位优化整合305路、332路、特4路。撤销后特4路北段由调整后的305路代替，南段由调整后的332路代替，乘客所提到的三塔寺至车公庄西路段有19路覆盖。因此，您的建议目前不能采纳，建议乘客换乘19路到达，给您的出行带来不便，请谅解。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-10-12|公共交通线路|NaN
建议|建议优化调整5路|5路现状:菜户营桥——北土城公交场站建议调整后:菜户营桥——慧忠里上行:菜户营桥-菜户营桥东-大观园西- 菜户营桥北-白纸坊桥北-椿树馆街-广安门南-广安门内-牛街路口西-菜市口西-果子巷-虎坊桥路口东-万明路-板章路-前门-天安门广场东-天安门西-中山公园西门-西华门-北海-西板桥-景山后街-地安门内-鼓楼-铸钟厂-德内甘水桥-果子市-德胜门-德胜门外-德外关厢-马甸桥南-马甸桥东-安华桥西(东行)-安华桥西(西行)-裕民中路南口-裕民中路-地铁北土城站-中华民族园-奥体西门-安慧桥东-安慧桥北-炎黄艺术馆-慧忠里下行:慧忠里-炎黄艺术馆-安慧桥北-安慧桥东-奥体西门-中华民族园-地铁北土城站-裕民中路-裕民中路南口-马甸桥东-马甸桥南-德外关厢-德胜门外-德胜门-德胜门南站-果子市-德内甘水桥-铸钟厂-鼓楼-地安门内-景山后街-西板桥-北海-西华门-中山公园西门-前门-煤市街南口-板章路-虎坊桥路口西-果子巷-菜市口西-牛街路口西-广安门内-广安门南-椿树馆街-白纸坊桥北-菜户营桥北- 菜户营桥营业时间:慧忠里 05:00-23:00                菜户营桥 05:00-23:00|2020-10-01|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：公交运营线路调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持，并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-10-12|公共交通线路|NaN
建议|建议调整89路及专30路|为丰富红莲南路、鸭子桥路及鸭子桥南街的公交路网结构，方便远达小区、鸭子桥43号院、政泰家园及菜户营11号院居民乘客的出行需求，建议89路由红莲南里延长至菜户营桥东。恩济里小区——菜户营桥东方向增加:莲花晴园、白纸坊桥西、白纸坊桥南、菜户营桥北、菜户营桥东共5站。菜户营桥东——恩济里小区方向增加:菜户营桥东、大观园西、菜户营桥北、白纸坊桥西、莲花晴园共5站。同步调整专30路，翠林小区——马连道胡同方向维持原线行驶。马连道胡同——翠林小区方向行驶至红莲南路后右转弯至鸭子桥路及鸭子桥南街。建议撤销白纸坊桥西及白纸坊桥南两站，增设鸭子桥路和鸭子桥南街两站。撤出路段由89路代替。|2020-09-30|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，白纸坊桥由西向南方向已有专30路覆盖，89路暂不考虑延长至菜户营。且公交运营线路调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持，并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-10-12|公共交通线路|NaN
建议|建议F81路改为全天时段发车，并延长至梨村|尊敬的客六分公司领导，F81路车队领导您好！F81路首末站燕保阜盛家园-康泽佳苑公交场站，营业时间平日、节假日早晚高峰运营，根据F81路客流情况，以及F81路路由途径地区，多为学校、住宅区、地铁站，再结合F81路南段燕保阜盛家园邻近梨村公交场站，故建议F81路改为全天时段发车，并延长至梨村公交场站，方便南段小区换乘832路、895路进城，方便沿线小区在房山区内出行，谢谢！|2020-09-30|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，F81路于2020年8月31日开通，线路的开通主要是为了解决良乡、长阳地区市民出行以及途径的黄城根小学房山分校、北京十二中朗悦学校、北京理工大学附属学校的学生上下学无车问题。F81路首末站：康泽佳苑公交场站－燕保阜盛家园，营业时间：康泽佳苑公交场站6点00分-9点45分、15点00分-19点45分；燕保阜盛家园5点55分-9点35分、14点55分-20点00分，线路长度13公里，单程运营时间40分钟，营业时间段内计划间隔10-20分钟。线路营业时间是由房山交通局、房山区教育委员会与我分公司共同商定的，能够满足学生及家长接送孩子上下学出行需求的。经过对线路开通以来客流调研，目前营业时间能够满足大部分乘客的基本出行，因此您的建议目前不能采纳，请谅解。目前乘客在燕保阜盛家园站可乘坐896路前往梨村，可以满足乘客出行需求。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-10-12|公共交通线路|NaN
建议|建议481路改走现609路中关村南大街，学院南路，终点放在大钟寺或知春路并改为全天运营|建议481路改走现609路中关村南大街，学院南路，终点放在大钟寺或知春路，并改为全天运营，609改回海淀南路，万泉庄一线，万寿寺路让专6过去。|2020-09-30|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：公交运营线路的开通或调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持（如：站位设置要考虑道路情况、车辆停靠情况、乘客乘车是否安全以及公交公司对站位设置的相关规定等综合情况），并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-10-12|公共交通线路|NaN
建议|建议新开公交线路|998路撤销后，丰台西站去往南三环方向需增加换乘次数，不方便，建议新开线路进行接驳。|2020-09-29|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：感谢您对公交线网优化提出的宝贵建议，我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-09-30|公共交通线路|NaN
建议|建议特2路、特7路合并|新路号427路首末站：怡海花园南门-炎黄艺术馆怡海花园西门-前门沿用特7路走向 前门-炎黄艺术馆沿用特2路走向目的：削减前三门大街重复线路，替代线路：9路、67路|2020-09-29|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：公交运营线路调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持，并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-09-30|公共交通线路|NaN
建议|建议501路|现在北京大兴国际机场已经开航，原南苑机场已经关闭。建议501路南苑机场改为蓝天怡景小区、南苑机场候机楼改为蓝天怡景小区南。|2020-09-28|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：公交集团遵照《北京市地名管理办法》、《北京市地名管理条例》的相关规定，以“尊重历史、便于识别、地名先行、规范有序”为基本原则。感谢您对公交线网优化提出的宝贵建议，我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中,如确有需要更改的会在今后的工作规划中予以考虑。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-09-30|公共交通线路|NaN
建议|建议调整481路并改为全天运营、调整334路、恢复原609路走向|1、调整481路，并改为全天运营，弥补609路调整后，学院南路前往中关村南大街需求，79路撤销后，知春路前往三环居民需求，方便大钟寺东路居民出行首末站：吴庄公交场站——知春路运营时间：吴庄公交场站5:30-22:30 知春路5:30-23:00，增设：紫竹院南门(单向)、白石桥北(单向)、国家图书馆(单向)、中央民族大学、魏公村、中国农业科学院南门、皂君庙西站、皂君东里、联想桥南、大钟寺、大钟寺东（吴庄公交场站→知春路）、白塔庵东（吴庄公交场站→知春路）、学知桥南（知春路→吴庄公交场站）、蓟门桥北（知春路→吴庄公交场站）、蓟门桥西（知春路→吴庄公交场站）、地铁大钟寺站（知春路→吴庄公交场站）、知春路撤销：紫竹桥北、紫竹院北门万寿寺路撤出路段替代线路：334路2、调整334路，弥补481路调整后万寿寺路和紫竹院北门乘客出行需求首末站：吴庄公交场站——紫竹院北门运营时间：吴庄公交场站5:30-21:00   紫竹院北门6:20-21:50，撤销：白石桥东(东行)、动物园枢纽站、新苑街(单向)，增设：紫竹桥北(吴庄公交场站→紫竹院北门)、国家图书馆(紫竹院北门→吴庄公交场站)、紫竹院北门，替代线路：360快、695路3、609路改回海淀南路、万泉庄、西三环一线，中关村南大街、学院南路走向由481路替代，中关村东路由特19路、86路替代。|2020-09-28|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：公交运营线路的开通或调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持（如：站位设置要考虑道路情况、车辆停靠情况、乘客乘车是否安全以及公交公司对站位设置的相关规定等综合情况），并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-09-30|公共交通线路|NaN
建议|建议584路加站|建议584路加站，四通桥东，乘客需求大。|2020-09-26|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：公交站位的设置是经过有关部门批准，并考虑了当地路况、交通状况等诸多原因及设站标准，且确实符合大多数百姓出行需要，经过深入细致的调查研究之后，再经交管局等相关部门审批同意后实施的。您的建议目前不能采纳，但将作为我们今后工作的参考。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-09-30|根据信件内容答复|NaN
建议|建议调整928路、481路、专6路、609路|1、调整928路，弥补660路撤销后，南段居民出行问题首末站：地铁望京西站——中国农业科学院运营时间：地铁望京西站5:30-21:30 中国农业科学院6:00-22:30增设：志新北里、志新桥北、志新桥西、学院桥西（中国农业科学院→地铁望京西站）、北京城市学院、保福寺桥南、白塔庵北、白塔庵、青云路、联想桥南（地铁望京西站→中国农业科学院）、皂君东里（地铁望京西站→中国农业科学院）、皂君庙西站（地铁望京西站→中国农业科学院）、中国农业科学院南门（地铁望京西站→中国农业科学院）、四通桥东（中国农业科学院→地铁望京西站）、红民村（中国农业科学院→地铁望京西站），中国农业科学院2、调整481路，弥补609路撤出路段学院南路前往中关村南大街、蓝靛厂南路、西四环路乘客需求首末站：吴庄公交场站——大钟寺运营时间：吴庄公交场站5:30-22:00   大钟寺6:30-23:00  增设：紫竹院南门（单向）、白石桥北（单向）、国家图书馆（单向）、中央民族大学、魏公村、中国农业科学院南门、皂君庙西站、皂君东里、联想桥南、大钟寺，撤销：紫竹桥北、紫竹院北门，481路调整后，万寿寺路由专6路替代。3、调整专6路，弥补481路调整后，万寿寺路及紫竹院北门居民出行首末站：阜成门内——紫竹院北门运营时间：定班车 阜成门内5:30-20:30  紫竹院北门6:10-21:10   高峰时段间隔15分钟，平峰及节假日间隔45分钟增设：阜成门内、西直门外、动物园、白石桥东、白石桥西(阜成门内→紫竹院北门)、紫竹院南门(阜成门内→紫竹院北门)、紫竹桥北(阜成门内→紫竹院北门)、国家图书馆(紫竹院北门→阜成门内)、紫竹院北门4、调整609路，恢复原线路，缓解386路和634路压力，增设：紫竹桥北、万寿寺、为公桥、苏州桥南、万泉庄、人民大学西门、海淀南路、海淀黄庄西（西三旗→金庄）、海淀黄庄东（金庄→西三旗）、知春里、知春里东站（西三旗→金庄）、志新路（西三旗→金庄）、志新村小区西（西三旗→金庄），撤销：紫竹院南门、白石桥西（单向）、白石桥北（单向）、国家图书馆、中央民族大学、魏公村、中国农业科学院南门、皂君庙西站、皂君东里、联想桥南、青云路、白塔庵、志新北里（单向）、志新桥北（单向）、志新桥西（单向），609路调整后，学院南路前往中关村南大街由481路替代。|2020-09-25|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，928路主要客流需求为地铁望京西及周边去往北四环中路、成府路附近的乘客，如果延长至保福寺桥西与沿途331路、375路路由重复，高峰时段道路拥堵，影响车辆周转，影响到现有各站位乘客候车时间，因此暂不建议延长928路，建议乘客选择928路换乘331路、375路出行。另外，公交运营线路调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持，并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-09-30|公共交通线路|NaN
建议|建议北京公交线网调整|建议新开专207路，由丰台体育中心开往北京南站，中途设站：丰北桥东-七里庄-丰台北路-地铁西局站-丽泽桥-丽泽桥东-丽泽商务区（临时站）-中国戏曲学院-菜户营桥西-菜户营桥东-大观园-右安门西-右安门东-开阳桥东-陶然亭公园南门-北京南站；建议973路截线至方庄桥东，取消大瓦窑公交场站至方庄桥西各站，撤销路由458路，300路等代替；建议839路截线至七里庄，七里庄至刘家窑桥由483路，458路，300路等代替；建议458路终点站由北京南站改为北京南站南广场，增设丰益桥南（单向），夏家胡同，玉泉营桥西，草桥，洋桥西（单向），万芳桥东（单向），北京南站南广场，撤销丽泽桥至北京南站沿途各站，撤销路段由专207路替代；建议830路截线至丰台体育中心，撤销路段由83路，专207路，958路等替代。|2020-09-25|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：感谢您对公交线网优化提出的宝贵建议，我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-09-30|公共交通线路|NaN
建议|建议增加987路公交车运行车辆并改善车况|987路公交车为云蒙山滑雪场开往望京西，是住在怀柔、密云城区外的市民每天通勤主要依赖的公交线路。之前该条线路上还有970路，但两个月970路取消了，目前只有987路车可以直达望京。987每天只有早晚高峰期有，且间隔20分钟一趟，数量很有限。然而现在在该区域的住户越来越多，且987的车况很不好，时常出现车坏的情况。建议公交公司缩短时间间隔，增开987路公交车，并改善车况|2020-09-25|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，987路首站云佛山滑雪场，末站地铁望京西站，该线路是满足早晚上下班换乘13号地铁乘客所运营的，乘客比较固定，因此发车计划安排上是参考乘客出行时间规律设置的，定点班车线路模式，车辆间隔均为20分钟。我们根据乘客反映的情况，调取987路行车记录显示：车辆严格按照行车计划发出，未发生间隔，同时调取近期987路密云至望京的方向的早晚高峰车内客流情况分析，现有配车、人员配备及运营时间均已满足线路乘客出行需求。车队会结合乘客反映的情况，我们将进一步关注线路早高峰客流情况及时、合理调整行车运营方案，为乘客提供更优质、更方便的出行服务。987线路配车6部，车型为BJ6127C8MTB型，该车型2013年11月投入运营，并于2020年8月完成车辆中整修，车队技术检查线路车辆并查看小修记录，近一个月记录显示9月25日7174028号车，车辆行驶至彩各庄发生中途故障。针对乘客反映的问题，我们加强驾驶员出车前的检查问修，确保车辆设施设备完好。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-09-30|公共交通线路|NaN
建议|建议安贞医院北站双向向西移动180米，并改为北土城公交场站|建议安贞医院北站双向向西移动180米，方便北土城公交场站下车的乘客过马路就能换乘409路、694路等线路，安贞医院北站更名为北土城公交场站，和92路、515路等线路北土城公交场站同名。|2020-09-25|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：公交集团遵照《北京市地名管理办法》、《北京市地名管理条例》的相关规定，以“尊重历史、便于识别、地名先行、规范有序”为基本原则，因此，暂不建议调整站名。另外，线路调整站位工作要经过交通主管部门的批准，同时要具备一定的条件，还要考虑诸多因素，结合目前的线网、站距和线路运营情况，乘客的意见将作为我们今后工作的参考，我们会根据乘客的意见、具备的条件和路网的规划做好线网工作。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-09-30|公共交通线路|NaN
建议|建议92路更换福田CNG|92路现在车已经到达报废年限，建议92路更换福田CNG车辆，或者福田CNG新能源。|2020-09-25|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，92路目前使用的部分为2010年的JNP6120GHP-1型柴油车。按照《北京市市级国有地面公交企业公益性固定资产管理暂行办法》的规定，2010年的车型已列入淘汰更新计划，新车正在生产制造，受疫情的影响，车辆交付使用稍微滞后。新车到后，由运营部门及时进行车辆分配与替换。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-09-30|公共交通线路|NaN
建议|建议电车公司对以下公交线网进行优化|2路现状:双庙开往宽街路口南建议调整后:海户屯开往宽街路口南替代线路:7路上行:海户屯→木樨园桥北→沙子口→永定门内→先农坛→天坛西门→天桥→珠市口南→大栅栏→前门→天安门广场东→天安门东→南河沿→东华门→北京妇产医院→沙滩路口南→亮果厂→宽街路口南 下行:宽街路口南→大佛寺→美术馆北→沙滩路口南→北京妇产医院→东华门→南河沿→天安门东→天安门广场西→前门→大栅栏→珠市口南→天桥→天坛西门→先农坛→永定门内→沙子口→木樨园桥北→海户屯 7路现状:五间楼开往动物园枢纽站建议调整后:双庙开往动物园枢纽站替代线路:69路上行:双庙→双庙北→地铁宋家庄站→宋家庄→顺四条→刘家窑桥东→刘家窑桥西→赵公口桥西→木樨园桥东→木樨园桥北→沙子口→永定门内→先农坛→天坛西门→天桥→珠市口南→大栅栏→前门→前门西→北京供电局→和平门东→宣武门东→长椿街路口北→新文化街西口→太平桥→辟才胡同→丰盛胡同→白塔寺→报子胡同→祖家街→宝产胡同→新开胡同→西直门内→西直门外→动物园枢纽站下行:动物园枢纽站→西直门外→西直门内→新开胡同→宝产胡同→祖家街→报子胡同→白塔寺→丰盛胡同→辟才胡同→太平桥→民族文化宫→佟麟阁路→新文化街→西绒线胡同→和平门内→北京供电局→前门西→前门→大栅栏→珠市口南→天桥→天坛西门→先农坛→永定门内→沙子口→木樨园桥北→木樨园桥东→赵公口桥西→刘家窑桥西→刘家窑桥东→顺四条→宋家庄→地铁宋家庄站→双庙北→双庙15路现状:动物园枢纽站开往天桥市场建议调整后:动物园枢纽站开往石榴园东区上行:动物园枢纽站 - 北京展览馆 - 二里沟东口 - 百万庄东口 - 展览路口北 - 月坛北街北站 - 月坛北街 - 月坛公园 - 北京儿童医院西门 - 礼士路南口 - 复兴门内 - 民族文化宫 - 西单路口南 - 宣武门东 - 和平门外 - 琉璃厂 - 虎坊桥路口南 - 永安路 - 友谊医院西 - 友谊医院 - 南纬路 - 天桥商场 - 天坛西门 - 先农坛 - 永定门内 - 沙子口 - 木樨园桥北 - 木樨园桥东 - 赵公口桥西 - 赵公口桥南 - 石榴园 - 石榴园东区下行:石榴园东区 - 石榴园 - 石榴园北区 - 赵公口桥南 - 赵公口桥西 - 木樨园桥东 - 木樨园桥北 - 沙子口 - 永定门内 - 先农坛 - 天桥商场 - 福长街 - 友谊医院西 - 永安路 - 虎坊桥路口南 - 琉璃厂 - 和平门外 - 宣武门东 - 西单路口西 - 民族文化宫 - 复兴门内 - 礼士路南口 - 北京儿童医院西门 - 月坛公园 - 月坛北街 - 展览路口南 - 百万庄东口 - 二里沟东口 - 北京展览馆 - 动物园枢纽站 36路现状:左安路开往天坛南门建议调整后:左安路开往天坛西门替代线路:72路上行:左安路 - 华威西里 - 潘家园路西口 - 劲松南路西口 - 光明桥 - 光明楼 - 北京体育馆 - 北京体育馆西 - 天坛体育场 - 东侧路 - 天坛南门 - 永定门东街 - 永定门东 - 先农坛 - 天坛西门下行:天坛西门 - 先农坛 - 永定门东 - 永定门东街 - 天坛南门 - 东侧路 - 天坛体育场 - 北京体育馆西 - 北京体育馆 - 光明楼 - 潘家园东路北口 - 劲松南路 - 华威路北口 - 华威西里 - 左安路建议调整后的天坛西门开往左安路方向增设光明桥东站。新开69路五间楼开往复兴门南上行:五间楼→贾家花园→赵公口桥南→定安路→琉璃井→安乐林→沙子口东→永定门内→先农坛→天桥→友谊医院东→虎坊桥路口南→琉璃厂→和平门外→宣武门东→长椿街路口西→复兴门南下行:复兴门南→新文化街西口→长椿街路口东→宣武门东→和平门外→琉璃厂→虎坊桥路口南→友谊医院东→天桥→先农坛→永定门内→沙子口东→安乐林→琉璃井→定安路→刘家窑桥北→横七条→五间楼120路现状:左家庄开往石榴园东区建议调整后:左家庄开往天坛南门替代线路:15路上行:左家庄 - 新源里 - 塔园村 - 幸福三村 - 工人体育场 - 朝阳医院 - 东大桥路口北 - 芳草地 - 芳草地南 - 永安里路口西 - 日坛路 - 北京站口东 - 王府井 - 天安门东 - 天安门广场西 - 前门 - 大栅栏 - 珠市口南 - 天桥 - 天坛西门 - 先农坛 - 永定门内 - 永定门东 - 永定门东街 - 天坛南门下行:天坛南门 - 永定门东街 - 永定门东 - 先农坛 - 天坛西门 - 天桥 - 珠市口南 - 大栅栏 - 前门 - 天安门广场东 - 天安门东 - 王府井 - 北京站口东 - 日坛路 - 永安里路口北 - 芳草地南 - 芳草地 - 东大桥路口北 - 朝阳医院 - 工人体育场 - 幸福三村 - 塔园村 - 新源里 - 左家庄|2020-09-23|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，72路光明桥东、劲松中街至大北窑南路段，仅有72路一条线路行驶，且这两站是方庄北口91路换乘72路去往大北窑南的唯一换乘线路。因此暂不建议线路调整。另外，公交运营线路的开通或调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持（如：站位设置要考虑道路情况、车辆停靠情况、乘客乘车是否安全以及公交公司对站位设置的相关规定等综合情况），并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-09-30|公共交通线路|NaN
建议|电车分公司线网优化建议|15路现状:动物园枢纽站开往天桥市场建议调整后:动物园枢纽站开往石榴园东区上行:动物园枢纽站 - 北京展览馆 - 二里沟东口 - 百万庄东口 - 展览路口北 - 月坛北街北站 - 月坛北街 - 月坛公园 - 北京儿童医院西门 - 礼士路南口 - 复兴门内 - 民族文化宫 - 西单路口南 - 宣武门东 - 和平门外 - 琉璃厂 - 虎坊桥路口南 - 永安路 - 友谊医院西 - 友谊医院 - 南纬路 - 天桥商场 - 天坛西门 - 先农坛 - 永定门内 - 沙子口 - 木樨园桥北 - 木樨园桥东 - 赵公口桥西 - 赵公口桥南 - 石榴园 - 石榴园东区下行:石榴园东区 - 石榴园 - 石榴园北区 - 赵公口桥南 - 赵公口桥西 - 木樨园桥东 - 木樨园桥北 - 沙子口 - 永定门内 - 先农坛 - 天桥商场 - 福长街 - 友谊医院西 - 永安路 - 虎坊桥路口南 - 琉璃厂 - 和平门外 - 宣武门东 - 西单路口西 - 民族文化宫 - 复兴门内 - 礼士路南口 - 北京儿童医院西门 - 月坛公园 - 月坛北街 - 展览路口南 - 百万庄东口 - 二里沟东口 - 北京展览馆 - 动物园枢纽站 36路现状:左安路开往天坛南门建议调整后:左安路开往天坛西门替代线路:72路上行:左安路 - 华威西里 - 潘家园路西口 - 劲松南路西口 - 光明桥 - 光明楼 - 北京体育馆 - 北京体育馆西 - 天坛体育场 - 东侧路 - 天坛南门 - 永定门东街 - 永定门东 - 先农坛 - 天坛西门下行:天坛西门 - 先农坛 - 永定门东 - 永定门东街 - 天坛南门 - 东侧路 - 天坛体育场 - 北京体育馆西 - 北京体育馆 - 光明楼 - 潘家园东路北口 - 劲松南路 - 华威路北口 - 华威西里 - 左安路建议调整后的天坛西门开往左安路方向增设光明桥东站。120路现状:左家庄开往石榴园东区建议调整后:左家庄开往天坛南门替代线路:15路上行:左家庄 - 新源里 - 塔园村 - 幸福三村 - 工人体育场 - 朝阳医院 - 东大桥路口北 - 芳草地 - 芳草地南 - 永安里路口西 - 日坛路 - 北京站口东 - 王府井 - 天安门东 - 天安门广场西 - 前门 - 大栅栏 - 珠市口南 - 天桥 - 天坛西门 - 先农坛 - 永定门内 - 永定门东 - 永定门东街 - 天坛南门下行:天坛南门 - 永定门东街 - 永定门东 - 先农坛 - 天坛西门 - 天桥 - 珠市口南 - 大栅栏 - 前门 - 天安门广场东 - 天安门东 - 王府井 - 北京站口东 - 日坛路 - 永安里路口北 - 芳草地南 - 芳草地 - 东大桥路口北 - 朝阳医院 - 工人体育场 - 幸福三村 - 塔园村 - 新源里 - 左家庄|2020-09-23|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，72路光明桥东、劲松中街至大北窑南路段，仅有72路一条线路行驶，且这两站是方庄北口91路换乘72路去往大北窑南的唯一换乘线路。因此暂不建议调整72路。另外，分公司将综合考虑线路走向、客流特征、道路状况、场站条件等因素制定线路优化计划。15路、36路、120路等线路调整后对现有乘客影响过大，因此暂不建议线路调整，请乘客谅解。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-09-30|公共交通线路|NaN
